state_code,commodity,date,total_allocated_qty
UP,wheat,2021-09-30,2747.61
UP,rice,2021-09-30,1844.76
UP,wheat,2021-09-30,2747.93
UP,rice,2021-09-30,3502.08
UP,wheat,2021-09-30,5195.48
UP,rice,2021-09-30,5640.93
UP,wheat,2021-09-30,8197.2
UP,rice,2021-09-30,2848.47
UP,wheat,2021-09-30,4204.79
UP,rice,2021-09-30,2761.69
UP,wheat,2021-09-30,4027.33
UP,rice,2021-09-30,3134.08
UP,wheat,2021-09-30,4605.27
UP,rice,2021-09-30,4305.15
UP,wheat,2021-09-30,6365.76
UP,rice,2021-09-30,4035.73
UP,wheat,2021-09-30,5972.3
UP,rice,2021-09-30,1778.72
UP,wheat,2021-09-30,2647.85
UP,rice,2021-09-30,3723.28
UP,wheat,2021-09-30,5563.66
UP,rice,2021-09-30,6112.88
UP,wheat,2021-09-30,9020.47
UP,rice,2021-09-30,5850.99
UP,wheat,2021-09-30,8613.91
UP,rice,2021-09-30,7523.16
UP,wheat,2021-09-30,10968.76
UP,rice,2021-09-30,2167.71
UP,wheat,2021-09-30,3161.52
UP,rice,2021-09-30,2061.69
UP,wheat,2021-09-30,3070.52
UP,rice,2021-09-30,7357.78
UP,wheat,2021-09-30,10742.35
UP,rice,2021-09-30,2527.03
UP,wheat,2021-09-30,3748.42
UP,rice,2021-09-30,2659.69
UP,wheat,2021-09-30,3895.13
UP,rice,2021-09-30,8036.52
UP,wheat,2021-09-30,11741.1
UP,rice,2021-09-30,3357.84
UP,wheat,2021-09-30,4922.18
UP,rice,2021-09-30,2748.03
UP,wheat,2021-09-30,4048.47
UP,rice,2021-09-30,3085.52
UP,wheat,2021-09-30,4500.41
UP,rice,2021-09-30,6185.49
UP,wheat,2021-09-30,9120.37
UP,rice,2021-09-30,2432.85
UP,wheat,2021-09-30,3580.29
UP,rice,2021-09-30,2821.66
UP,wheat,2021-09-30,4138.55
UP,rice,2021-09-30,7284.64
UP,wheat,2021-09-30,10652.24
UP,rice,2021-09-30,2163.26
UP,wheat,2021-09-30,3176.68
UP,rice,2021-09-30,6495.43
UP,wheat,2021-09-30,9617.86
UP,rice,2021-09-30,1581.84
UP,wheat,2021-09-30,2332.21
UP,rice,2021-09-30,2863.13
UP,wheat,2021-09-30,4179.95
UP,rice,2021-09-30,4160.27
UP,wheat,2021-09-30,6136.81
UP,rice,2021-09-30,3784.03
UP,wheat,2021-09-30,5534.56
UP,rice,2021-09-30,4581.75
UP,wheat,2021-09-30,6849.55
UP,rice,2021-09-30,4418.9
UP,wheat,2021-09-30,6454.19
UP,rice,2021-09-30,4873.52
UP,wheat,2021-09-30,7235.05
UP,rice,2021-09-30,4550.22
UP,wheat,2021-09-30,6776.27
UP,rice,2021-09-30,3535.06
UP,wheat,2021-09-30,5210.95
UP,rice,2021-09-30,5563.68
UP,wheat,2021-09-30,8160.05
UP,rice,2021-09-30,9536.74
UP,wheat,2021-09-30,14084.84
UP,rice,2021-09-30,5345.75
UP,wheat,2021-09-30,7763.84
UP,rice,2021-09-30,3845.35
UP,wheat,2021-09-30,5681.37
UP,rice,2021-09-30,5606.26
UP,wheat,2021-09-30,8272.85
UP,rice,2021-09-30,3523.47
UP,wheat,2021-09-30,5227.57
UP,rice,2021-09-30,4926.22
UP,wheat,2021-09-30,7294.74
UP,rice,2021-09-30,2043.41
UP,wheat,2021-09-30,3028.2
UP,rice,2021-09-30,7975.36
UP,wheat,2021-09-30,11682.86
UP,rice,2021-09-30,3554.0
UP,wheat,2021-09-30,5179.61
UP,rice,2021-09-30,4420.58
UP,wheat,2021-09-30,6429.85
UP,rice,2021-09-30,5723.09
UP,wheat,2021-09-30,8298.51
UP,rice,2021-09-30,5696.5
UP,wheat,2021-09-30,8421.01
UK,rice,2021-09-30,1509.91
UK,wheat,2021-09-30,925.43
UK,rice,2021-09-30,1770.28
UK,wheat,2021-09-30,1573.56
UK,rice,2021-09-30,7474.19
UK,wheat,2021-09-30,4580.95
UK,rice,2021-09-30,3866.38
UK,wheat,2021-09-30,2369.72
UK,rice,2021-09-30,1106.59
