state_code,date,commodity,total_allocated_qty
CG,2020-08-31,rice,116799.91
CG,2020-09-30,rice,117817.33
CG,2020-10-31,rice,117792.19
CG,2020-11-30,rice,116783.41
CG,2020-12-31,rice,116780.04
CG,2021-01-31,rice,116780.51
CG,2021-02-28,rice,116796.75
CG,2021-03-31,rice,116798.5
CG,2021-04-30,rice,116800.44
CG,2021-05-31,rice,116754.75
CG,2021-06-30,rice,116782.58
CG,2021-07-31,rice,86575.23
CG,2021-08-31,rice,85123.23
CG,2021-09-30,rice,85086.96
DH,2017-08-31,rice,680.84
DH,2017-08-31,wheat,69.34
DH,2017-09-30,rice,546.72
DH,2017-09-30,wheat,55.3
DH,2017-10-31,rice,737.06
DH,2017-10-31,wheat,310.65999999999997
DH,2017-11-30,rice,964.84
DH,2017-11-30,wheat,311.42
DH,2017-12-31,rice,968.5
DH,2017-12-31,wheat,313.14
DH,2018-01-31,rice,975.7900000000001
DH,2018-01-31,wheat,312.63
DH,2018-02-28,rice,982.0300000000001
DH,2018-02-28,wheat,313.32000000000005
DH,2018-03-31,rice,994.68
DH,2018-03-31,wheat,319.07
DH,2018-04-30,rice,994.85
DH,2018-04-30,wheat,314.65
DH,2018-05-31,rice,987.68
DH,2018-05-31,wheat,300.89
DH,2018-06-30,rice,990.39
DH,2018-06-30,wheat,301.19
DH,2018-07-31,rice,994.0799999999999
DH,2018-07-31,wheat,301.59
DH,2018-08-31,rice,996.63
DH,2018-08-31,wheat,301.87
DH,2018-09-30,rice,999.04
DH,2018-09-30,wheat,302.13
DH,2018-10-31,rice,985.85
DH,2018-10-31,wheat,281.92
DH,2018-11-30,rice,989.2
DH,2018-11-30,wheat,282.29
DH,2018-12-31,rice,997.2
DH,2018-12-31,wheat,283.18
DH,2019-01-31,rice,999.34
DH,2019-01-31,wheat,283.41
DH,2019-02-28,rice,1004.39
DH,2019-02-28,wheat,286.37
DH,2019-03-31,rice,1009.87
DH,2019-03-31,wheat,286.79999999999995
DH,2019-04-30,rice,1013.5
DH,2019-04-30,wheat,286.99
DH,2019-05-31,rice,1017.08
DH,2019-05-31,wheat,287.75
DH,2019-06-30,rice,1018.77
DH,2019-06-30,wheat,288.14
DH,2019-07-31,rice,1020.49
DH,2019-07-31,wheat,288.39
DH,2019-08-31,rice,1023.47
DH,2019-08-31,wheat,289.15
DH,2019-09-30,rice,1024.91
DH,2019-09-30,wheat,289.42
DH,2019-10-31,rice,1026.15
DH,2019-10-31,wheat,289.82
DH,2019-11-30,rice,1028.53
DH,2019-11-30,wheat,290.19
DH,2019-12-31,rice,1029.4
DH,2019-12-31,wheat,289.25
DH,2020-01-31,rice,1031.7
DH,2020-01-31,wheat,289.5
DH,2020-02-29,rice,1032.4
DH,2020-02-29,wheat,289.65000000000003
DH,2020-03-31,rice,1013.14
DH,2020-03-31,wheat,272.07
DH,2020-04-30,rice,1029.69
DH,2020-04-30,wheat,287.2
DH,2020-05-31,rice,1029.69
DH,2020-05-31,wheat,287.2
DH,2020-06-30,rice,1027.83
DH,2020-06-30,wheat,287.02
DH,2020-07-31,rice,1014.46
DH,2020-07-31,wheat,271.09
DH,2020-08-31,rice,1156.56
DH,2020-08-31,wheat,119.71000000000001
DH,2020-09-30,rice,1154.86
DH,2020-09-30,wheat,119.52
DH,2020-10-31,rice,1155.95
DH,2020-10-31,wheat,119.64
DH,2020-11-30,rice,1144.09
DH,2020-11-30,wheat,118.38
DH,2020-12-31,rice,1125.1499999999999
DH,2020-12-31,wheat,116.41
DH,2021-01-31,rice,1126.26
DH,2021-01-31,wheat,116.53
DH,2021-02-28,rice,1127.14
DH,2021-02-28,wheat,116.65
DH,2021-03-31,rice,1128.26
DH,2021-03-31,wheat,116.78
DH,2021-04-30,rice,1129.84
DH,2021-04-30,wheat,116.96
DH,2021-05-31,rice,1131.04
DH,2021-05-31,wheat,117.03
DH,2021-06-30,rice,1126.83
DH,2021-06-30,wheat,116.61999999999999
DH,2021-07-31,rice,319.59
DH,2021-07-31,wheat,33.64
DH,2021-08-31,rice,316.75
DH,2021-08-31,wheat,33.480000000000004
DH,2021-09-30,rice,321.71
DH,2021-09-30,wheat,34.019999999999996
DL,2017-08-31,rice,0.08
DL,2017-08-31,wheat,0.32000000000000006
DL,2017-09-30,rice,0.08
DL,2017-09-30,wheat,0.32000000000000006
DL,2017-10-31,wheat,9084.09
DL,2017-11-30,rice,2343.84
DL,2017-11-30,wheat,9084.1
DL,2017-12-31,rice,486.18
DL,2017-12-31,wheat,2101.01
DL,2018-01-31,rice,13914.4
DL,2018-01-31,wheat,55436.479999999996
DL,2018-02-28,rice,14114.26
DL,2018-02-28,wheat,53639.75
DL,2018-03-31,rice,14092.91
DL,2018-03-31,wheat,55262.39
DL,2018-04-30,rice,18074.01
DL,2018-04-30,wheat,46919.08
DL,2018-05-31,rice,14367.36
DL,2018-05-31,wheat,26372.94
DL,2018-06-30,rice,7596.72
DL,2018-06-30,wheat,26524.93
DL,2018-07-31,rice,7126.55
DL,2018-07-31,wheat,27203.64
DL,2018-08-31,rice,14183.24
DL,2018-08-31,wheat,50285.57
DL,2018-09-30,rice,7866.19
DL,2018-09-30,wheat,25663.760000000002
DL,2018-10-31,rice,6263.77
DL,2018-10-31,wheat,23719.010000000002
